Año,Mes,Nominal,Reaj. T.C.
2015.0,Enero,3.36,
2015.0,Febrero,3.24,
2015.0,Marzo,3.36,
2015.0,Abril,3.3600000000000003,
2015.0,Mayo,3.4799999999999995,
2015.0,Junio,3.4799999999999995,
2015.0,Julio,3.4799999999999995,
2015.0,Agosto,3.5999999999999996,
2015.0,Septiembre,3.7199999999999998,
2015.0,Octubre,3.7199999999999998,
2015.0,Noviembre,3.84,
2015.0,Diciembre,3.96,
2016.0,Enero,3.96,
2016.0,Febrero,3.84,
2016.0,Marzo,3.84,
2016.0,Abril,3.72,
2016.0,Mayo,3.7199999999999998,
2016.0,Junio,3.7199999999999998,
2016.0,Julio,3.72,
2016.0,Agosto,3.72,
2016.0,Septiembre,3.7199999999999998,
2016.0,Octubre,3.7199999999999998,
2016.0,Noviembre,3.6,
2016.0,Diciembre,3.7199999999999998,
2017.0,Enero,3.4799999999999995,
2017.0,Febrero,3.3600000000000003,
2017.0,Marzo,3.24,
2017.0,Abril,3.0,
2017.0,Mayo,2.88,
2017.0,Junio,2.7600000000000002,
2017.0,Julio,2.7600000000000002,
2017.0,Agosto,2.64,
2017.0,Septiembre,2.64,
2017.0,Octubre,2.64,
2017.0,Noviembre,2.64,
2017.0,Diciembre,2.7600000000000002,
2018.0,Enero,2.7600000000000002,
2018.0,Febrero,2.64,
2018.0,Marzo,2.64,
2018.0,Abril,2.64,
2018.0,Mayo,2.52,
2018.0,Junio,2.52,
2018.0,Julio,2.64,
2018.0,Agosto,2.64,
2018.0,Septiembre,2.64,
2018.0,Octubre,2.7600000000000002,
2018.0,Noviembre,2.7600000000000002,
2018.0,Diciembre,2.88,
2019.0,Enero,2.7600000000000002,
2019.0,Febrero,2.88,
2019.0,Marzo,2.88,
2019.0,Abril,2.88,
2019.0,Mayo,3.0,
2019.0,Junio,2.64,
2019.0,Julio,2.52,
2019.0,Agosto,2.41,
2019.0,Septiembre,2.04,
2019.0,Octubre,1.99,
2019.0,Noviembre,2.09,
2019.0,Diciembre,1.97,
2020.0,Enero,1.86,
2020.0,Febrero,1.85,
2020.0,Marzo,1.78,
2020.0,Abril,0.71,
2020.0,Mayo,0.66,
2020.0,Junio,0.57,
2020.0,Julio,0.51,
2020.0,Agosto,0.48,
2020.0,Septiembre,0.47,
2020.0,Octubre,0.46,
2020.0,Noviembre,0.45,
2020.0,Diciembre,0.43,
2021.0,Enero,0.45,
2021.0,Febrero,0.43,
2021.0,Marzo,0.44,
2021.0,Abril,0.45,
2021.0,Mayo,0.45,
2021.0,Junio,0.48,
2021.0,Julio,0.65,
2021.0,Agosto,0.85,
2021.0,Septiembre,1.64,
2021.0,Octubre,2.46,
2021.0,Noviembre,2.99,
2021.0,Diciembre,3.87,
2022.0,Enero,4.58,
2022.0,Febrero,5.62,
2022.0,Marzo,6.41,
2022.0,Abril,7.11,
2022.0,Mayo,8.15,
2022.0,Junio,8.82,
2022.0,Julio,9.44,
2022.0,Agosto,9.84,
2022.0,Septiembre,10.39,
2022.0,Octubre,10.9,
2022.0,Noviembre,11.02,
2022.0,Diciembre,11.1,
2023.0,Enero,11.09,
2023.0,Febrero,11.08,
2023.0,Marzo,11.02,
2023.0,Abril,10.92,
2023.0,Mayo,10.85,
2023.0,Junio,10.74,
2023.0,Julio,10.4,
2023.0,Agosto,9.43,
2023.0,Septiembre,8.9,
2023.0,Octubre,8.64,
2023.0,Noviembre,8.27,
2023.0,Diciembre,7.89,
2024.0,Enero,7.41,
2024.0,Febrero,6.57,
2024.0,Marzo,6.4,
2024.0,Abril,5.89,
2024.0,Mayo,5.71,
2024.0,Junio,5.37,
2024.0,Julio,5.31,
2024.0,Agosto,5.22,
2024.0,Septiembre,5.1,
