Año,Mes,Nominal,Reaj. T.C.,Reaj. U.F.
2015.0,Enero,6.24,,4.913493976
2015.0,Febrero,5.16,,3.606168243
2015.0,Marzo,5.28,,1.691909029
2015.0,Abril,5.28,,1.9932672435212957
2015.0,Mayo,5.16,,2.371844772967073
2015.0,Junio,5.4,,2.67
2015.0,Julio,5.28,,1.943060111402027
2015.0,Agosto,5.4,,1.4228205841783534
2015.0,Septiembre,5.4,,1.7189044251536132
2015.0,Octubre,5.88,,2.181612559938308
2015.0,Noviembre,5.5200000000000005,,3.6448501334720103
2015.0,Diciembre,5.76,,4.173517262061581
2016.0,Enero,5.5200000000000005,,3.41
2016.0,Febrero,5.76,,2.323548867845079
2016.0,Marzo,5.64,,1.6
2016.0,Abril,5.52,,2.36
2016.0,Mayo,5.4,,2.67
2016.0,Junio,5.28,,2.78
2016.0,Julio,5.76,,3.06
2016.0,Agosto,5.28,,2.978344427443189
2016.0,Septiembre,5.5200000000000005,,2.28
2016.0,Octubre,5.16,,2.65
2016.0,Noviembre,5.28,,4.04
2016.0,Diciembre,5.28,,4.616586571070206
2017.0,Enero,4.92,,4.35
2017.0,Febrero,5.04,,2.13
2017.0,Marzo,4.68,,2.22
2017.0,Abril,4.4399999999999995,,1.75
2017.0,Mayo,4.4399999999999995,,2.57
2017.0,Junio,4.32,,3.47
2017.0,Julio,4.4399999999999995,,4.17
2017.0,Agosto,4.199999999999999,,2.11
2017.0,Septiembre,4.199999999999999,,1.96
2017.0,Octubre,4.08,,3.95
2017.0,Noviembre,3.96,,2.68
2017.0,Diciembre,4.32,,3.46
2018.0,Enero,4.199999999999999,,3.02
2018.0,Febrero,4.08,,2.15
2018.0,Marzo,4.199999999999999,,2.38
2018.0,Abril,3.96,,2.5
2018.0,Mayo,3.96,,1.72
2018.0,Junio,4.08,,1.87
2018.0,Julio,3.96,,1.5
2018.0,Agosto,3.96,,1.73
2018.0,Septiembre,3.96,,2.0
2018.0,Octubre,4.199999999999999,,2.41
2018.0,Noviembre,4.32,,2.92
2018.0,Diciembre,4.32,,4.16
2019.0,Enero,4.4399999999999995,,3.8
2019.0,Febrero,4.68,,3.95
2019.0,Marzo,4.32,,2.82
2019.0,Abril,4.32,,2.35
2019.0,Mayo,4.4399999999999995,,2.18
2019.0,Junio,4.08,,2.41
2019.0,Julio,4.08,,2.85
2019.0,Agosto,3.96,,2.28
2019.0,Septiembre,3.27,,1.81
2019.0,Octubre,3.83,,1.79
2019.0,Noviembre,3.69,,1.96
2019.0,Diciembre,3.89,,1.87
2020.0,Enero,3.47,,2.1
2020.0,Febrero,2.66,,2.01
2020.0,Marzo,3.54,,2.18
2020.0,Abril,3.76,,2.55
2020.0,Mayo,3.12,,2.86
2020.0,Junio,3.08,,3.38
2020.0,Julio,3.48,,3.86
2020.0,Agosto,2.87,,3.13
2020.0,Septiembre,2.94,,1.71
2020.0,Octubre,3.19,,2.37
2020.0,Noviembre,2.87,,2.18
2020.0,Diciembre,2.4,,2.24
2021.0,Enero,2.69,,2.2
2021.0,Febrero,3.41,,2.09
2021.0,Marzo,2.94,,2.43
2021.0,Abril,2.43,,2.28
2021.0,Mayo,2.36,,2.03
2021.0,Junio,2.84,,2.57
2021.0,Julio,2.74,,2.52
2021.0,Agosto,3.13,,2.63
2021.0,Septiembre,4.19,,2.65
2021.0,Octubre,4.76,,2.07
2021.0,Noviembre,5.3,,2.73
2021.0,Diciembre,5.79,,2.47
2022.0,Enero,6.93,,2.62
2022.0,Febrero,7.98,,2.44
2022.0,Marzo,8.28,,2.39
2022.0,Abril,8.96,,2.28
2022.0,Mayo,9.3,,2.73
2022.0,Junio,10.29,,2.26
2022.0,Julio,11.03,,2.83
2022.0,Agosto,11.82,,2.83
2022.0,Septiembre,12.43,,2.58
2022.0,Octubre,12.87,,4.27
2022.0,Noviembre,13.26,,4.61
2022.0,Diciembre,13.36,,5.3
2023.0,Enero,13.45,,7.15
2023.0,Febrero,12.98,,7.16
2023.0,Marzo,12.87,,6.76
2023.0,Abril,13.09,,6.59
2023.0,Mayo,12.84,,9.83
2023.0,Junio,13.04,,11.14
2023.0,Julio,12.78,,11.89
2023.0,Agosto,11.43,,9.77
2023.0,Septiembre,11.4,,7.61
2023.0,Octubre,10.6,,6.37
2023.0,Noviembre,10.2,,8.47
2023.0,Diciembre,9.98,,8.27
2024.0,Enero,9.62,,10.48
2024.0,Febrero,8.81,,6.12
2024.0,Marzo,8.38,,4.3
2024.0,Abril,7.93,,5.07
2024.0,Mayo,8.14,,5.14
2024.0,Junio,7.13,,6.71
2024.0,Julio,7.06,,5.66
2024.0,Agosto,7.02,,3.58
2024.0,Septiembre,6.74,,3.94
