Año,Mes,Nominal,Reaj. U.F,Reaj. T.C
2015.0,Enero,9.12,3.837505456,
2015.0,Febrero,10.2,2.737855167,
2015.0,Marzo,9.84,1.817225036,
2015.0,Abril,10.08,2.1216860368878994,
2015.0,Mayo,9.959999999999999,2.46131262643617,
2015.0,Junio,9.84,2.43,
2015.0,Julio,8.52,2.027827674085233,
2015.0,Agosto,9.600000000000001,1.5723406505019801,
2015.0,Septiembre,8.28,1.8420908542847898,
2015.0,Octubre,8.16,2.5521408793386633,
2015.0,Noviembre,9.0,3.342264389862959,
2015.0,Diciembre,8.76,3.425999540442564,
2016.0,Enero,9.24,2.97,
2016.0,Febrero,10.08,2.3,
2016.0,Marzo,10.44,2.38,
2016.0,Abril,10.2,2.59,
2016.0,Mayo,9.72,2.32,
2016.0,Junio,10.08,2.36,
2016.0,Julio,9.600000000000001,2.66,
2016.0,Agosto,10.68,2.734661150514534,
2016.0,Septiembre,11.52,2.84,
2016.0,Octubre,11.4,3.22,
2016.0,Noviembre,10.44,3.81,
2016.0,Diciembre,11.28,3.5893143399237943,
2017.0,Enero,12.72,2.98,
2017.0,Febrero,13.919999999999998,2.14,
2017.0,Marzo,13.080000000000002,2.21,
2017.0,Abril,11.399999999999999,1.99,
2017.0,Mayo,10.56,2.39,
2017.0,Junio,11.040000000000001,2.41,
2017.0,Julio,11.040000000000001,2.94,
2017.0,Agosto,10.44,2.39,
2017.0,Septiembre,11.28,2.44,
2017.0,Octubre,10.44,3.34,
2017.0,Noviembre,11.040000000000001,2.53,
2017.0,Diciembre,10.56,2.66,
2018.0,Enero,10.56,2.48,
2018.0,Febrero,11.76,2.23,
2018.0,Marzo,10.92,2.49,
2018.0,Abril,10.08,2.46,
2018.0,Mayo,9.48,2.04,
2018.0,Junio,10.8,1.85,
2018.0,Julio,9.959999999999999,1.85,
2018.0,Agosto,10.44,1.8,
2018.0,Septiembre,10.68,1.79,
2018.0,Octubre,10.44,2.32,
2018.0,Noviembre,10.44,2.8,
2018.0,Diciembre,11.040000000000001,3.49,
2019.0,Enero,10.56,3.16,
2019.0,Febrero,9.72,2.63,
2019.0,Marzo,10.08,2.35,
2019.0,Abril,8.76,2.11,
2019.0,Mayo,9.120000000000001,2.05,
2019.0,Junio,8.879999999999999,1.94,
2019.0,Julio,8.16,2.32,
2019.0,Agosto,7.92,1.87,
2019.0,Septiembre,7.36,1.68,
2019.0,Octubre,7.13,1.75,
2019.0,Noviembre,6.82,1.79,
2019.0,Diciembre,7.33,1.87,
2020.0,Enero,9.07,1.88,
2020.0,Febrero,10.71,1.94,
2020.0,Marzo,7.48,1.76,
2020.0,Abril,7.06,2.13,
2020.0,Mayo,7.72,2.41,
2020.0,Junio,7.42,2.26,
2020.0,Julio,7.32,2.22,
2020.0,Agosto,7.06,1.93,
2020.0,Septiembre,7.2,1.84,
2020.0,Octubre,7.54,2.12,
2020.0,Noviembre,8.9,2.08,
2020.0,Diciembre,8.01,2.03,
2021.0,Enero,9.12,1.86,
2021.0,Febrero,9.6,2.1,
2021.0,Marzo,8.88,2.12,
2021.0,Abril,9.51,1.94,
2021.0,Mayo,8.11,1.99,
2021.0,Junio,8.94,2.03,
2021.0,Julio,8.46,1.99,
2021.0,Agosto,9.25,2.03,
2021.0,Septiembre,9.72,2.32,
2021.0,Octubre,11.32,2.31,
2021.0,Noviembre,13.34,2.36,
2021.0,Diciembre,13.2,2.56,
2022.0,Enero,14.41,2.7,
2022.0,Febrero,15.42,3.31,
2022.0,Marzo,15.77,2.84,
2022.0,Abril,16.1,2.33,
2022.0,Mayo,15.42,2.66,
2022.0,Junio,16.48,2.72,
2022.0,Julio,16.56,2.52,
2022.0,Agosto,17.97,2.89,
2022.0,Septiembre,18.41,3.36,
2022.0,Octubre,18.35,4.54,
2022.0,Noviembre,18.29,5.16,
2022.0,Diciembre,18.06,6.17,
2023.0,Enero,19.57,7.03,
2023.0,Febrero,20.75,7.07,
2023.0,Marzo,20.06,7.33,
2023.0,Abril,20.82,7.58,
2023.0,Mayo,19.71,9.44,
2023.0,Junio,19.42,9.18,
2023.0,Julio,19.52,9.26,
2023.0,Agosto,18.78,7.51,
2023.0,Septiembre,18.17,7.41,
2023.0,Octubre,17.69,7.22,
2023.0,Noviembre,16.85,8.56,
2023.0,Diciembre,15.25,7.74,
2024.0,Enero,17.09,8.03,
2024.0,Febrero,15.59,6.35,
2024.0,Marzo,17.06,5.48,
2024.0,Abril,15.37,5.39,
2024.0,Mayo,14.87,5.46,
2024.0,Junio,14.01,4.99,
2024.0,Julio,13.93,4.68,
2024.0,Agosto,13.61,3.93,
2024.0,Septiembre,14.13,3.72,
