Año,Mes,Exportacion,Importacion,Total
2015.0,Enero,1.5164041911724901,1.6994628902479114,1.597160986435902
2015.0,Febrero,1.658110572795099,1.7358640988313598,1.684601636833142
2015.0,Marzo,1.220352471797849,1.813407590753482,1.458816477154283
2015.0,Abril,1.5500471797138695,1.6644820074580875,1.62
2015.0,Mayo,1.2428675282110295,1.7682111716674147,1.3818396097605696
2015.0,Junio,1.6046976974281602,1.788890231942359,1.681825336480314
2015.0,Julio,1.4555430115189918,1.6887426063491797,1.5486261039288127
2015.0,Agosto,1.5174930043728518,1.6970344756185507,1.5856321134940072
2015.0,Septiembre,1.1955111422170426,2.0853564876013477,1.573994499198929
2015.0,Octubre,1.271920214436464,2.0229646707821223,1.524345819053698
2015.0,Noviembre,1.3801817198953734,2.007846960537231,1.5664954774446904
2015.0,Diciembre,1.5875071771999423,2.3271249699481498,1.8296947426139958
2016.0,Enero,1.5592783054401773,2.443819209898337,1.892401974918618
2016.0,Febrero,1.4349342698509562,2.190425289214783,1.6664341180083597
2016.0,Marzo,1.6036655001878166,2.3710948304492887,1.8450418925384797
2016.0,Abril,1.746347169192747,2.2065919532138567,1.9161644549564454
2016.0,Mayo,1.377551915501705,2.3008880657992288,1.629337752274746
2016.0,Junio,1.4582992533577621,2.3739945131060245,1.702538789910422
2016.0,Julio,1.4198468154110822,2.1961547450853423,1.702362082730377
2016.0,Agosto,1.2771090580793927,2.479250581838846,1.6552755263376597
2016.0,Septiembre,1.4163427643100746,2.495040780093209,1.7863098843074756
2016.0,Octubre,1.6573520472038097,2.518268777344398,1.9606557465891512
2016.0,Noviembre,1.5893557917021535,2.3392083953362466,1.842080656070202
2016.0,Diciembre,2.201666158544753,2.6282840705052526,2.345209143869814
2017.0,Enero,2.141242012192495,2.2948558471819775,2.2144960410537435
2017.0,Febrero,1.86,2.6,2.16
2017.0,Marzo,2.07,2.77,2.33
2017.0,Abril,2.17,2.7,2.35
2017.0,Mayo,1.97,2.69,2.23
2017.0,Junio,2.24,2.91,2.49
2017.0,Julio,2.07,2.87,2.39
2017.0,Agosto,2.17,2.89,2.52
2017.0,Septiembre,2.4,2.87,2.59
2017.0,Octubre,2.07,2.93,2.4
2017.0,Noviembre,2.3,2.91,2.57
2017.0,Diciembre,2.51,3.23,2.73
2018.0,Enero,2.66,3.15,2.87
2018.0,Febrero,2.69,3.26,2.93
2018.0,Marzo,2.73,3.53,3.02
2018.0,Abril,2.93,3.48,3.15
2018.0,Mayo,2.89,3.86,3.22
2018.0,Junio,3.21,3.61,3.38
