Año,Mes,Tarjeta de credito,Creditos en cuotas,Sobregiros,Total
2015.0,Enero,24.77009927351616,15.33345316100732,30.47260664507,24.096004417675232
2015.0,Febrero,26.275318029970286,15.402136517196087,31.14698589080008,25.234454506174483
2015.0,Marzo,24.720736570128857,13.730764952547478,30.7900773440498,23.299889255728694
2015.0,Abril,24.94630274290187,14.201427247366844,30.556844934074732,23.619520297404737
2015.0,Mayo,25.43744992339004,14.08634671072264,30.34782747240967,23.777920247312657
2015.0,Junio,25.011463471140058,13.974289954592345,30.109024445817216,23.47911758285245
2015.0,Julio,24.30348207985918,14.254897787068533,29.399690125558152,22.914229745414907
2015.0,Agosto,25.73607751912514,13.959811253181147,29.108933640254506,23.520368626991754
2015.0,Septiembre,25.411497159861995,13.933832674976603,29.05524697653093,23.228031870933826
2015.0,Octubre,24.940871813220262,14.3048115110014,28.613100242566055,23.141147208858296
2015.0,Noviembre,23.955007142935386,14.680759255295257,28.59681533663102,22.71405559810402
2015.0,Diciembre,23.781892970038665,14.97456553493975,28.351451531380818,22.825927726055138
2016.0,Enero,24.447465877359313,15.451477396160207,28.29147038398424,23.394943708509853
2016.0,Febrero,25.13212599852812,15.352342143309691,28.75408687545659,23.872567741311805
2016.0,Marzo,24.299931984157304,14.00804779129461,28.927600120068274,22.68924006560573
2016.0,Abril,25.077504110031136,14.23914785625983,28.814230956352482,23.305944415526945
2016.0,Mayo,24.523690257111927,14.247919375759514,28.43906961159525,22.86927625287625
2016.0,Junio,24.97852367645253,14.220726080919539,28.57058895440548,23.123982168214148
2016.0,Julio,24.923896282528876,14.581877765256891,28.570781620751685,23.192294409798944
2016.0,Agosto,24.441729441717065,14.383365869344365,28.50622789629695,22.778364058595766
2016.0,Septiembre,24.902500850814242,14.354466412035048,28.284560513239498,23.155736132412635
2016.0,Octubre,24.795545881304694,14.609783529389249,28.114724079691015,23.20043758159802
2016.0,Noviembre,23.869415946419714,14.728744642808486,28.254370155939764,22.643910888756665
2016.0,Diciembre,23.270467124785547,14.584921527419688,28.028790952389844,22.378849376053722
2017.0,Enero,23.768248516047464,15.26750709501931,28.299754098690393,23.038613775515692
2017.0,Febrero,24.14,15.12,28.68,23.34
2017.0,Marzo,23.09,13.59,28.4,22.02
2017.0,Abril,23.94,13.99,28.56,22.83
2017.0,Mayo,22.79,13.72,28.18,21.88
2017.0,Junio,23.51,13.53,28.15,22.2
2017.0,Julio,23.0,13.83,27.88,22.01
2017.0,Agosto,22.65,13.39,27.96,21.45
2017.0,Septiembre,23.26,13.4,27.8,22.06
2017.0,Octubre,22.66,13.57,27.6,21.65
2017.0,Noviembre,22.11,13.51,27.63,21.15
2017.0,Diciembre,21.91,13.98,27.59,21.34
2018.0,Enero,22.56,13.99,27.77,21.68
2018.0,Febrero,23.7,13.9,28.06,22.45
2018.0,Marzo,22.47,12.75,28.13,20.91
2018.0,Abril,22.55,13.08,27.68,21.2
2018.0,Mayo,22.26,12.97,27.25,20.98
2018.0,Junio,23.0,12.7,27.41,21.29
2018.0,Julio,22.15,13.19,27.14,20.98
2018.0,Agosto,22.01,12.89,27.1,20.46
2018.0,Septiembre,22.86,12.78,27.17,21.32
2018.0,Octubre,21.06,13.07,26.89,20.14
2018.0,Noviembre,21.66,13.29,26.42,20.71
2018.0,Diciembre,21.28,13.46,26.86,20.58
2019.0,Enero,22.5,14.04,27.0,21.54
2019.0,Febrero,23.24,13.78,27.74,22.14
2019.0,Marzo,22.83,12.26,27.87,20.94
2019.0,Abril,22.5,12.59,27.54,21.04
2019.0,Mayo,22.14,12.22,27.2,20.58
2019.0,Junio,22.7,12.08,27.08,20.74
2019.0,Julio,22.19,12.2,26.66,20.5
2019.0,Agosto,21.64,11.68,26.36,19.77
2019.0,Septiembre,21.57,11.4,26.17,19.96
2019.0,Octubre,20.45,11.52,25.69,19.38
