Fecha,(Millones de pesos),Promedio,Máxima,Mínima,(TPM)
2015-01-02,100.0,3,3,3,3.0
2015-01-05,55190.0,3,3,3,3.0
2015-01-06,100.0,3,3,3,3.0
2015-01-07,255000.0,3,3,3,3.0
2015-01-08,310000.0,3,3,3,3.0
2015-01-09,765580.0,3,3.1,2.9,3.0
2015-01-12,764580.0,3.01,3.1,2.9,3.0
2015-01-13,370490.0,3,3.1,3,3.0
2015-01-14,469490.0,3,3.1,3,3.0
2015-01-15,269330.0,3.01,3.1,3,3.0
2015-01-16,284000.0,3,3.1,3,3.0
2015-01-19,493920.0,3,3.1,3,3.0
2015-01-20,326450.0,3,3.1,3,3.0
2015-01-21,9460.0,3,3,3,3.0
2015-01-22,65460.0,3.02,3.05,3,3.0
2015-01-23,550660.0,3,3,2.9,3.0
2015-01-26,84360.0,3,3,3,3.0
2015-01-27,117340.0,3,3,3,3.0
2015-01-28,81330.0,3.02,3.1,3,3.0
2015-01-29,146840.0,3.02,3.1,3,3.0
2015-01-30,16000.0,3,3,3,3.0
2015-02-02,235330.0,3,3,3,3.0
2015-02-03,226250.0,3,3,3,3.0
2015-02-04,284250.0,3.01,3.1,3,3.0
2015-02-05,396550.0,3.01,3.1,3,3.0
2015-02-06,108350.0,3,3,3,3.0
2015-02-09,96340.0,3,3,3,3.0
2015-02-10,71300.0,3,3,3,3.0
2015-02-11,280180.0,3,3,3,3.0
2015-02-12,444290.0,3,3,3,3.0
2015-02-13,393290.0,3,3,3,3.0
2015-02-16,417350.0,3,3,3,3.0
2015-02-17,533360.0,3,3,3,3.0
2015-02-18,541100.0,3,3,3,3.0
2015-02-19,465200.0,3,3,3,3.0
2015-02-20,416000.0,3,3,3,3.0
2015-02-23,272000.0,3,3,3,3.0
2015-02-24,84000.0,3,3,3,3.0
2015-02-25,33000.0,3,3,3,3.0
2015-02-26,386000.0,3,3,3,3.0
2015-02-27,308200.0,3,3,3,3.0
2015-03-02,96100.0,3,3,3,3.0
2015-03-03,116100.0,3,3,3,3.0
2015-03-04,212300.0,3,3,3,3.0
2015-03-05,510300.0,3,3,3,3.0
2015-03-06,432500.0,3,3,3,3.0
2015-03-09,569600.0,3,3,3,3.0
2015-03-10,466450.0,3,3.05,3,3.0
2015-03-11,818150.0,3,3,3,3.0
2015-03-12,844260.0,3,3.05,3,3.0
2015-03-13,670150.0,3,3.05,3,3.0
2015-03-16,688150.0,3,3.05,2.9,3.0
2015-03-17,496250.0,3,3,3,3.0
2015-03-18,285100.0,3,3,3,3.0
2015-03-19,289100.0,3,3,2.9,3.0
2015-03-20,337000.0,3,3.05,3,3.0
