Año,Mes,Menor a 30 dias,30 a 89 dias,90 a 180 dias,181 dias a 1 año,Mas de 1 año,TotalComercial
2015,Enero,7.64,6.65,5.76,6.75,8.51,7.070129910573307
2015,Febrero,8.41,5.5,5.56,7.0,7.14,7.12784560612088
2015,Marzo,8.17,5.49,5.77,6.93,7.58,7.145096912949975
2015,Abril,7.76,5.53,5.88,7.52,6.86,7.036429824108094
2015,Mayo,8.13,5.32,5.42,7.58,6.34,6.8780397911292805
2015,Junio,8.19,5.5,5.75,7.25,7.13,7.062430963395363
2015,Julio,8.11,5.45,5.98,6.19,7.43,6.832705521716165
2015,Agosto,7.81,5.67,5.78,6.96,7.52,7.070604827174272
2015,Septiembre,7.45,5.49,5.87,6.17,6.2,6.34022641338139
2015,Octubre,7.52,6.15,6.37,6.1,5.83,6.236534735157083
2015,Noviembre,7.3,5.76,6.25,7.22,6.82,6.926419624128122
2015,Diciembre,7.16,5.94,6.35,7.25,6.64,6.855746395994714
2016,Enero,7.999086747233849,5.722253415299107,6.4201747675443475,7.742893613629841,7.333509791533911,7.284385244263115
2016,Febrero,8.425101003875376,5.9725783878195875,6.75353469232099,8.02348101947934,7.845066992264462,7.75326755815297
2016,Marzo,7.988870309870116,5.901115032816475,6.33531529252326,8.998293437993047,7.439093018910498,7.710791838732768
2016,Abril,7.95495383897756,5.6529481224959,6.321890122206946,8.201200811267814,7.3541464569902715,7.46724243024946
2016,Mayo,7.581029509712987,5.579159226341583,6.320000209612523,7.738493348019686,8.066317883069267,7.453991313715928
2016,Junio,7.996542116563204,5.438288789102422,6.087629694702921,8.184653820868094,6.735695942572528,7.156553265524298
2016,Julio,7.503800807613597,5.980638997744008,6.203911241507468,7.806974727788976,5.919445950416443,6.807152894812866
2016,Agosto,7.753519515303816,5.4116401973366255,6.269551639804583,8.52682475998883,5.722601272892782,6.75449973137794
2016,Septiembre,7.536618517564186,5.749947885163097,6.015685332200011,9.02766058882949,5.775635258425296,6.8776584984803915
2016,Octubre,7.474610114284989,5.285617322081366,6.18345683271396,8.828828085274505,8.121817022947388,7.675640643344186
2016,Noviembre,7.314206734616526,5.360614027286163,6.326069265966252,8.24301263469038,8.207209505556257,7.565957631046722
2016,Diciembre,7.014564113240472,5.446806696037168,5.940875470731253,9.365210736417103,7.8335107807194255,7.643104967857815
2017,Enero,7.840232060858035,5.068915660889542,6.404547958483826,9.613192828000074,7.664709884405339,7.884418591454251
2017,Febrero,8.76,5.29,5.57,10.44,9.49,8.84
2017,Marzo,8.01,4.82,5.44,9.88,8.44,8.18
2017,Abril,7.65,4.63,5.05,8.49,7.85,7.48
2017,Mayo,7.74,4.66,5.06,7.82,6.9,7.03
