Año,Mes,Menor a 30 dias,30 a 89 dias,90 a 180 dias,181 dias a 1 año,Mas de 1 año,TotalComercioE
2015,Enero,1.13,1.38,1.77,1.84,3.5,1.597160986435902
2015,Febrero,1.06,1.52,1.91,1.81,2.83,1.684601636833142
2015,Marzo,0.85,1.28,1.76,2.06,1.99,1.458816477154283
2015,Abril,2.04,1.2,1.74,1.92,1.58,1.62
2015,Mayo,1.47,0.84,1.75,1.69,2.74,1.3818396097605696
2015,Junio,1.46,1.32,1.65,2.48,2.42,1.681825336480314
2015,Julio,1.43,1.09,1.83,1.88,2.66,1.5486261039288127
2015,Agosto,1.58,1.18,1.7,2.19,0.99,1.5856321134940072
2015,Septiembre,1.28,1.38,1.38,2.21,4.24,1.573994499198929
2015,Octubre,1.05,1.21,1.4,2.12,3.71,1.524345819053698
2015,Noviembre,1.73,1.21,1.85,1.56,2.49,1.5664954774446904
2015,Diciembre,2.1,1.43,1.7,2.61,2.43,1.8296947426139958
2016,Enero,1.5240176731654038,1.3586152411567662,1.8027589822497867,2.623393829635799,2.7310558278816166,1.892401974918618
2016,Febrero,2.0235900925487846,1.3903919970335958,1.484101282506547,2.08830585314429,2.1026075849843204,1.6664341180083597
2016,Marzo,1.9496799659291373,1.4424127187527724,1.7297093054002586,2.9265408837012106,3.5782198193525856,1.8450418925384797
2016,Abril,1.804825624808288,1.4765420211743352,2.0152432408805083,2.180561136138348,2.269278150040337,1.9161644549564454
2016,Mayo,1.441094128133438,1.3934813580631347,1.5798958911041732,2.0727187834261973,3.8056066719917445,1.629337752274746
2016,Junio,1.2994210830331687,1.2632873620250724,1.5172068558872074,3.2140800080099075,3.039460749601066,1.702538789910422
2016,Julio,1.5489464202488668,1.0349980281128743,1.800852252303337,2.845880293293698,2.8567842372540686,1.702362082730377
2016,Agosto,1.44727307092476,1.0492003782932555,1.928201539083736,2.6794980148736487,4.122856336333907,1.6552755263376597
2016,Septiembre,1.0961657915470167,1.3238499735509024,2.3264129619682246,2.9252847877786867,4.768844275274491,1.7863098843074756
2016,Octubre,1.4711688663341145,1.2969802643806954,2.5026698775927825,2.744927512936756,2.2891462756476106,1.9606557465891512
2016,Noviembre,1.3708355380720267,1.521723669840176,2.621904564933609,1.9977342482944251,1.4502594193656324,1.842080656070202
2016,Diciembre,1.4977777295280132,1.9382849994765745,2.494010056016678,2.799231953499,4.492133954623574,2.345209143869814
2017,Enero,2.318072420872046,1.4960113822535326,2.7394757414203417,2.623237110170709,3.978556437263262,2.2144960410537435
2017,Febrero,1.64,1.55,2.65,2.95,2.8,2.16
2017,Marzo,2.09,1.67,2.68,3.17,2.17,2.33
2017,Abril,2.31,1.73,2.65,2.51,3.51,2.35
2017,Mayo,2.07,1.75,2.65,2.44,2.75,2.23
2017,Junio,2.27,1.94,2.77,2.71,2.66,2.49
2017,Julio,2.13,1.69,2.85,3.03,2.89,2.39
2017,Agosto,2.59,1.74,2.85,3.1,4.97,2.52
2017,Septiembre,1.87,1.95,3.05,3.22,3.27,2.59
2017,Octubre,2.29,1.76,2.82,3.05,4.06,2.4
2017,Noviembre,1.91,1.93,2.96,3.27,2.29,2.57
2017,Diciembre,2.1,2.26,2.93,3.15,3.24,2.73
2018,Enero,2.25,2.24,3.28,3.49,4.29,2.87
2018,Febrero,1.93,2.3,3.43,3.47,6.54,2.93
2018,Marzo,1.58,2.58,3.64,3.94,4.7,3.02
2018,Abril,2.57,2.44,3.61,3.69,3.35,3.15
2018,Mayo,2.15,2.55,3.9,3.49,4.56,3.22
2018,Junio,2.48,2.78,3.79,3.94,4.48,3.38
2018,Julio,2.39,2.81,4.02,4.26,5.77,3.62
2018,Agosto,2.48,2.89,3.82,3.81,4.63,3.45
2018,Septiembre,2.83,3.08,4.09,3.73,4.36,3.57
2018,Octubre,2.51,3.12,4.14,4.57,5.89,3.72
2018,Noviembre,3.29,3.35,4.26,4.67,5.22,4.0
2018,Diciembre,3.36,3.53,4.46,3.91,4.86,3.92
2019,Enero,2.93,3.35,4.42,4.37,5.97,3.91
2019,Febrero,3.36,3.38,4.47,4.77,3.9,4.03
2019,Marzo,3.3,3.34,4.32,3.89,4.76,3.75
2019,Abril,3.28,3.4,4.12,4.07,3.07,3.75
