Año,Mes,Mas de 3 años
2015,Enero,3.75
2015,Febrero,3.73
2015,Marzo,3.67
2015,Abril,3.6
2015,Mayo,3.61
2015,Junio,3.66
2015,Julio,3.67
2015,Agosto,3.63
2015,Septiembre,3.65
2015,Octubre,3.64
2015,Noviembre,3.72
2015,Diciembre,3.77
2016,Enero,3.832336444633633
2016,Febrero,3.8285425470190493
2016,Marzo,3.8056222561863335
2016,Abril,3.7853394200906125
2016,Mayo,3.788066652596839
2016,Junio,3.756538019253741
2016,Julio,3.726151403730141
2016,Agosto,3.720552392043814
2016,Septiembre,3.6637135539514345
2016,Octubre,3.5580441087567483
2016,Noviembre,3.5103017051701366
2016,Diciembre,3.588765866332131
2017,Enero,3.6161869924987213
2017,Febrero,3.55
2017,Marzo,3.47
2017,Abril,3.42
2017,Mayo,3.36
2017,Junio,3.29
2017,Julio,3.2
2017,Agosto,3.19
2017,Septiembre,3.2
2017,Octubre,3.26
2017,Noviembre,3.35
2017,Diciembre,3.48
2018,Enero,3.52
2018,Febrero,3.54
2018,Marzo,3.5
2018,Abril,3.45
2018,Mayo,3.41
2018,Junio,3.34
2018,Julio,3.33
2018,Agosto,3.23
2018,Septiembre,3.22
2018,Octubre,3.17
2018,Noviembre,3.23
2018,Diciembre,3.28
2019,Enero,3.24
2019,Febrero,3.23
2019,Marzo,3.18
2019,Abril,3.04
2019,Mayo,2.9
2019,Junio,2.78
2019,Julio,2.55
2019,Agosto,2.38
2019,Septiembre,2.17
2019,Octubre,1.99
2019,Noviembre,1.99
2019,Diciembre,2.18
2020,Enero,2.4
2020,Febrero,2.5
2020,Marzo,2.6
2020,Abril,2.93
2020,Mayo,2.86
2020,Junio,2.79
2020,Julio,2.64
2020,Agosto,2.58
2020,Septiembre,2.35
2020,Octubre,2.47
2020,Noviembre,2.42
2020,Diciembre,2.39
2021,Enero,2.34
2021,Febrero,2.34
2021,Marzo,2.31
2021,Abril,2.36
2021,Mayo,2.4
2021,Junio,2.51
2021,Julio,2.81
2021,Agosto,3.1
2021,Septiembre,3.29
2021,Octubre,3.56
2021,Noviembre,3.91
2021,Diciembre,4.0
2022,Enero,4.2
2022,Febrero,4.39
2022,Marzo,4.45
2022,Abril,4.41
2022,Mayo,4.35
2022,Junio,4.32
2022,Julio,4.31
2022,Agosto,4.23
2022,Septiembre,4.32
2022,Octubre,4.53
2022,Noviembre,4.64
2022,Diciembre,4.44
2023,Enero,4.32
2023,Febrero,4.29
2023,Marzo,4.31
2023,Abril,4.29
2023,Mayo,4.23
2023,Junio,4.2
2023,Julio,4.24
2023,Agosto,4.22
2023,Septiembre,4.35
2023,Octubre,4.72
2023,Noviembre,5.18
2023,Diciembre,5.21
2024,Enero,5.0
2024,Febrero,4.97
2024,Marzo,4.9
2024,Abril,4.87
2024,Mayo,4.97
2024,Junio,5.0
2024,Julio,5.03
2024,Agosto,4.97
2024,Septiembre,4.81
